10:
	65008
32: 	514911
33:!	3923
34:"	17970
35:#	1
36:$	2
37:%	1
39:'	7529
40:(	670
41:)	670
42:*	300
44:,	39891
45:-	6308
46:.	30805
47:/	29
48:0	179
49:1	392
50:2	147
51:3	61
52:4	23
53:5	55
54:6	57
55:7	40
56:8	193
57:9	35
58::	1015
59:;	1145
61:=	2
63:?	3137
64:@	2
65:A	6575
66:B	3606
67:C	2107
68:D	2017
69:E	2259
70:F	1946
71:G	1303
72:H	4378
73:I	7933
74:J	308
75:K	1201
76:L	713
77:M	3251
78:N	3614
79:O	1635
80:P	6519
81:Q	35
82:R	3057
83:S	2987
84:T	6816
85:U	254
86:V	1116
87:W	2888
88:X	673
89:Y	1265
90:Z	108
91:[	1
93:]	1
97:a	199239
98:b	31052
99:c	59520
100:d	116274
101:e	312990
102:f	52950
103:g	50024
104:h	163027
105:i	166351
106:j	2266
107:k	19230
108:l	95814
109:m	58395
110:n	180561
111:o	191245
112:p	39014
113:q	2295
114:r	145373
115:s	159906
116:t	219591
117:u	65180
118:v	25970
119:w	56319
120:x	3711
121:y	45000
122:z	2280
